generation;idx;fitness;param0;param1;param2;param3;param4;param5;param6;param7;param8;param9
1;0;2.1441176470588235;;-rrt;;;;;;-rsd;-r;1
1;1;2.557894736842105;;;-ct;-cta;0.0;-ctb;1;;;
1;2;2.557894736842105;;;;;;;;;;
1;3;1.7357142857142858;;;-ct;-cta;0.0;-ctb;10;-rsd;-r;5
1;4;2.5489510489510487;;-rrt;;;;;;;;
1;5;2.4880546075085324;;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;1
1;6;2.939516129032258;-d;-rrt;-ct;-cta;1.0;-ctb;1;;;
1;7;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
1;8;1.4182879377431907;;-rrt;-ct;-cta;0.67;-ctb;10;;;
1;9;2.951417004048583;-d;-rrt;;;;;;-rsd;-r;10
1;10;2.951417004048583;-d;-rrt;;;;;;;;
1;11;2.3823529411764706;;;;;;;;-rsd;-r;5
1;12;2.5051546391752577;;-rrt;;;;;;-rsd;-r;10
1;13;2.904382470119522;-d;;;;;;;;;
1;14;2.557894736842105;-d;;-ct;-cta;0.67;-ctb;3;-rsd;-r;5
1;15;1.8740359897172236;;-rrt;-ct;-cta;0.0;-ctb;10;;;
1;16;2.650909090909091;-d;-rrt;;;;;;-rsd;-r;5
1;17;1.6720183486238531;-d;;-ct;-cta;0.0;-ctb;10;-rsd;-r;1
1;18;1.9133858267716535;-d;-rrt;-ct;-cta;0.33;-ctb;10;-rsd;-r;10
1;19;2.793103448275862;-d;;-ct;-cta;0.33;-ctb;3;-rsd;-r;5
1;20;2.939516129032258;-d;-rrt;-ct;-cta;1.0;-ctb;1;-rsd;-r;10
1;21;2.1568047337278107;;;-ct;-cta;0.67;-ctb;3;-rsd;-r;5
1;22;2.5489510489510487;;;-ct;-cta;0.33;-ctb;1;;;
1;23;1.6568181818181817;-d;;-ct;-cta;0.67;-ctb;10;-rsd;-r;5
1;24;2.3823529411764706;;;-ct;-cta;0.0;-ctb;1;-rsd;-r;5
1;25;2.6035714285714286;-d;;-ct;-cta;0.0;-ctb;3;-rsd;-r;5
1;26;1.668192219679634;-d;-rrt;-ct;-cta;0.67;-ctb;10;;;
1;27;2.8814229249011856;-d;;;;;;;-rsd;-r;10
1;28;1.6720183486238531;-d;-rrt;-ct;-cta;0.0;-ctb;10;-rsd;-r;1
1;29;2.4219269102990033;;;-ct;-cta;0.0;-ctb;3;-rsd;-r;10
1;30;2.951417004048583;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;5
1;31;2.0948275862068964;;-rrt;-ct;-cta;1.0;-ctb;3;;;
1;32;2.641304347826087;-d;;;;;;;-rsd;-r;5
1;33;1.8740359897172236;;;-ct;-cta;0.0;-ctb;10;-rsd;-r;10
1;34;1.3327239488117002;;-rrt;-ct;-cta;1.0;-ctb;10;-rsd;-r;1
1;35;2.7613636363636362;-d;-rrt;-ct;-cta;0.33;-ctb;3;-rsd;-r;10
1;36;2.513793103448276;;-rrt;-ct;-cta;1.0;-ctb;1;;;
1;37;2.2996845425867507;-d;;-ct;-cta;0.0;-ctb;10;;;
1;38;2.5051546391752577;;-rrt;-ct;-cta;0.0;-ctb;3;;;
1;39;2.8255813953488373;-d;;-ct;-cta;0.67;-ctb;1;;;
1;40;2.53125;;-rrt;-ct;-cta;0.67;-ctb;1;;;
1;41;1.5543710021321961;-d;;-ct;-cta;1.0;-ctb;10;;;
1;42;2.3142857142857145;-d;-rrt;-ct;-cta;0.0;-ctb;10;;;
1;43;1.5543710021321961;-d;-rrt;-ct;-cta;1.0;-ctb;10;-rsd;-r;1
1;44;2.557894736842105;-d;;-ct;-cta;0.67;-ctb;3;;;
1;45;1.6720183486238531;;-rrt;-ct;-cta;0.0;-ctb;10;-rsd;-r;1
1;46;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;10
