timed;gen;idx;min;sec
chrom;1;0;00;6.102
chrom;1;1;00;12.557
chrom;1;2;00;11.948
chrom;1;3;00;10.874
chrom;1;4;00;12.700
chrom;1;5;00;2.859
chrom;1;6;00;2.296
chrom;1;7;00;7.618
chrom;1;8;00;1.908
chrom;1;9;00;9.234
chrom;1;10;00;7.432
chrom;1;11;00;12.185
chrom;1;12;00;13.974
chrom;1;13;00;7.304
chrom;1;14;00;5.730
chrom;1;15;00;5.673
chrom;1;16;00;11.453
chrom;1;17;00;7.626
chrom;1;18;00;7.221
chrom;1;19;00;6.254
chrom;1;20;00;5.826
chrom;1;21;00;6.876
chrom;1;22;00;3.546
chrom;1;23;00;4.982
chrom;1;24;00;12.997
chrom;1;25;00;10.888
chrom;1;26;00;1.602
chrom;1;27;00;9.238
chrom;1;28;00;8.134
chrom;1;29;00;14.754
chrom;1;30;00;8.160
chrom;1;31;00;4.093
chrom;1;32;00;12.393
chrom;1;33;00;11.220
chrom;1;34;00;1.562
chrom;1;35;00;6.932
chrom;1;36;00;3.484
chrom;1;37;00;4.468
chrom;1;38;00;12.517
chrom;1;39;00;2.779
chrom;1;40;00;3.655
chrom;1;41;00;1.312
chrom;1;42;00;4.827
chrom;1;43;00;1.781
chrom;1;44;00;2.290
chrom;1;45;00;4.780
chrom;1;46;00;7.438
chrom;1;47;00;2.359
chrom;1;48;00;15.262
chrom;1;49;00;2.557
gen;1;;05;55.850
chrom;2;0;00;12.647
chrom;2;1;00;12.141
chrom;2;2;00;6.189
chrom;2;3;00;2.111
chrom;2;4;00;11.618
chrom;2;5;00;11.087
chrom;2;6;00;12.016
chrom;2;7;00;6.762
chrom;2;8;00;6.138
chrom;2;9;00;2.640
chrom;2;10;00;2.609
chrom;2;11;00;9.755
chrom;2;12;00;7.512
chrom;2;13;00;2.304
chrom;2;14;00;6.172
chrom;2;15;00;8.012
chrom;2;16;00;9.451
chrom;2;17;00;7.675
chrom;2;18;00;6.094
chrom;2;19;00;7.236
chrom;2;20;00;2.453
chrom;2;21;00;13.810
chrom;2;22;00;6.144
chrom;2;23;00;9.701
chrom;2;24;00;7.873
chrom;2;25;00;2.660
chrom;2;26;00;11.791
chrom;2;27;00;2.406
chrom;2;28;00;13.497
chrom;2;29;00;6.811
chrom;2;30;00;14.169
chrom;2;31;00;13.159
chrom;2;32;00;11.529
chrom;2;33;00;3.031
chrom;2;34;00;11.822
chrom;2;35;00;7.701
chrom;2;36;00;14.266
chrom;2;37;00;5.249
chrom;2;38;00;13.181
chrom;2;39;00;8.900
chrom;2;40;00;14.754
chrom;2;41;00;3.641
chrom;2;42;00;3.296
chrom;2;43;00;8.529
chrom;2;44;00;2.343
chrom;2;45;00;8.500
chrom;2;46;00;9.052
chrom;2;47;00;16.141
chrom;2;48;00;14.609
chrom;2;49;00;10.515
gen;2;;07;1.887
chrom;3;0;00;8.529
chrom;3;1;00;7.550
chrom;3;2;00;3.343
chrom;3;3;00;3.741
chrom;3;4;00;9.132
chrom;3;5;00;3.327
chrom;3;6;00;11.336
chrom;3;7;00;11.815
chrom;3;8;00;8.929
chrom;3;9;00;8.927
chrom;3;10;00;3.173
chrom;3;11;00;7.760
chrom;3;12;00;3.296
chrom;3;13;00;9.999
chrom;3;14;00;12.098
chrom;3;15;00;9.580
chrom;3;16;00;8.029
chrom;3;17;00;11.881
chrom;3;18;00;8.295
chrom;3;19;00;16.793
chrom;3;20;00;23.338
chrom;3;21;00;13.856
chrom;3;22;00;5.624
chrom;3;23;00;8.623
chrom;3;24;00;16.121
chrom;3;25;00;6.889
chrom;3;26;00;15.356
