generation;idx;fitness;param0;param1;param2;param3;param4;param5;param6;param7;param8;param9;param10;param11;param12;param13;param14;param15;param16;param17;param18;param19;param20
1;0;1.0;;-rrt;;;;;;;;;-crlow;0.6;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;15;
1;1;1.0;-d;;-ct;-cta;0.67;-ctb;1;;;;-crlow;0.6;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;30;-bbcomp
1;2;1.0;-d;;;;;;;-rsd;-r;10;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;30;
1;3;1.0;;-rrt;-ct;-cta;0.33;-ctb;3;-rsd;-r;5;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;15;-bbcomp
1;4;1.2972972972972974;;-rrt;;;;;;-rsd;-r;10;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;5;-bbcomp
1;5;1.0;;;;;;;;;;;-crlow;0.9;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;15;
1;6;1.0;;;-ct;-cta;0.0;-ctb;10;;;;-crlow;0.6;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;15;-bbcomp
1;7;1.0;;;-ct;-cta;0.0;-ctb;10;-rsd;-r;10;-crlow;0.9;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;15;
1;8;0.8727272727272727;-d;-rrt;;;;;;;;;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;0;
1;9;0.9056603773584906;;;-ct;-cta;0.33;-ctb;1;;;;-crlow;0.2;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;0;
