generation;idx;fitness;param0;param1;param2;param3;param4;param5;param6;param7;param8;param9
1;0;1.6610169491525424;-d;;;;;;;;;
1;1;1.5806451612903225;-d;;-ct;-cta;1.0;-ctb;1;;;
1;2;1.5806451612903225;-d;;-ct;-cta;0.0;-ctb;1;-rsd;-r;5
1;3;1.6610169491525424;-d;-rrt;-ct;-cta;0.0;-ctb;1;-rsd;-r;10
1;4;1.6610169491525424;-d;;-ct;-cta;0.0;-ctb;3;;;
1;5;1.5555555555555556;-d;-rrt;;;;;;-rsd;-r;1
1;6;1.5806451612903225;;;;;;;;;;
1;7;1.53125;;;-ct;-cta;1.0;-ctb;1;;;
1;8;1.5076923076923077;;;-ct;-cta;0.33;-ctb;1;;;
1;9;1.3611111111111112;;;-ct;-cta;0.67;-ctb;3;;;
1;10;1.5555555555555556;;-rrt;-ct;-cta;0.67;-ctb;1;-rsd;-r;5
1;11;1.5555555555555556;-d;;;;;;;-rsd;-r;1
1;12;1.3611111111111112;;-rrt;-ct;-cta;0.67;-ctb;3;;;
1;13;1.4202898550724639;;-rrt;-ct;-cta;0.33;-ctb;3;;;
1;14;1.53125;;-rrt;;;;;;-rsd;-r;5
1;15;1.5806451612903225;;-rrt;;;;;;;;
1;16;1.380281690140845;;;-ct;-cta;1.0;-ctb;3;-rsd;-r;10
1;17;1.53125;;;;;;;;-rsd;-r;5
1;18;1.6610169491525424;-d;-rrt;;;;;;-rsd;-r;10
1;19;1.4411764705882353;-d;;-ct;-cta;1.0;-ctb;3;;;
1;20;1.1951219512195121;-d;;-ct;-cta;0.33;-ctb;10;;;
1;21;1.53125;;;;;;;;-rsd;-r;10
1;22;1.4202898550724639;;;-ct;-cta;0.33;-ctb;3;-rsd;-r;10
1;23;1.0;-d;-rrt;-ct;-cta;1.0;-ctb;10;;;
1;24;1.5076923076923077;;-rrt;-ct;-cta;0.0;-ctb;3;;;
1;25;1.380281690140845;;;-ct;-cta;1.0;-ctb;3;;;
1;26;1.6610169491525424;-d;-rrt;;;;;;;;
1;27;1.6065573770491803;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
1;28;1.180722891566265;;-rrt;-ct;-cta;0.67;-ctb;10;;;
1;29;1.5555555555555556;-d;;-ct;-cta;0.67;-ctb;1;;;
1;30;1.6065573770491803;-d;;-ct;-cta;0.33;-ctb;1;;;
1;31;1.5555555555555556;;-rrt;-ct;-cta;0.67;-ctb;1;;;
1;32;1.5076923076923077;;;-ct;-cta;0.0;-ctb;1;-rsd;-r;1
1;33;1.4202898550724639;;-rrt;-ct;-cta;0.33;-ctb;3;-rsd;-r;5
1;34;1.5555555555555556;;;-ct;-cta;0.67;-ctb;1;;;
1;35;1.5806451612903225;;;-ct;-cta;0.0;-ctb;1;;;
1;36;1.53125;;-rrt;-ct;-cta;1.0;-ctb;1;-rsd;-r;1
