timed;gen;idx;min;sec
chrom;1;0;00;0.578
chrom;1;1;00;0.549
chrom;1;2;00;0.595
chrom;1;3;00;0.635
chrom;1;4;00;0.536
chrom;1;5;00;0.522
chrom;1;6;00;0.609
chrom;1;7;00;0.539
chrom;1;8;00;0.546
chrom;1;9;00;0.480
chrom;1;10;00;0.514
chrom;1;11;00;0.465
chrom;1;12;00;0.509
chrom;1;13;00;0.508
chrom;1;14;00;0.553
chrom;1;15;00;0.594
chrom;1;16;00;0.530
chrom;1;17;00;0.536
chrom;1;18;00;0.602
chrom;1;19;00;0.530
chrom;1;20;00;0.453
chrom;1;21;00;0.598
chrom;1;22;00;0.539
chrom;1;23;00;0.411
chrom;1;24;00;0.602
chrom;1;25;00;0.522
chrom;1;26;00;0.596
chrom;1;27;00;0.555
chrom;1;28;00;0.460
chrom;1;29;00;0.544
chrom;1;30;00;0.549
chrom;1;31;00;0.530
chrom;1;32;00;0.477
chrom;1;33;00;0.496
chrom;1;34;00;0.535
chrom;1;35;00;0.550
chrom;1;36;00;0.515
chrom;1;37;00;0.532
chrom;1;38;00;0.454
chrom;1;39;00;0.454
gen;1;;00;21.484
chrom;2;0;00;0.631
chrom;2;1;00;0.615
chrom;2;2;00;0.553
chrom;2;3;00;0.533
chrom;2;4;00;0.548
chrom;2;5;00;0.565
chrom;2;6;00;0.634
chrom;2;7;00;0.548
chrom;2;8;00;0.589
chrom;2;9;00;0.705
chrom;2;10;00;0.631
chrom;2;11;00;0.573
chrom;2;12;00;0.639
chrom;2;13;00;0.555
chrom;2;14;00;0.476
chrom;2;15;00;0.573
chrom;2;16;00;0.580
chrom;2;17;00;0.578
chrom;2;18;00;0.642
chrom;2;19;00;0.616
chrom;2;20;00;0.608
chrom;2;21;00;0.447
chrom;2;22;00;0.489
chrom;2;23;00;0.625
chrom;2;24;00;0.609
chrom;2;25;00;0.621
chrom;2;26;00;0.495
chrom;2;27;00;0.498
chrom;2;28;00;0.586
chrom;2;29;00;0.539
chrom;2;30;00;0.624
chrom;2;31;00;0.525
chrom;2;32;00;0.562
chrom;2;33;00;0.509
chrom;2;34;00;0.513
chrom;2;35;00;0.539
chrom;2;36;00;0.525
chrom;2;37;00;0.696
chrom;2;38;00;0.521
chrom;2;39;00;0.560
gen;2;;00;23.057
chrom;3;0;00;0.615
chrom;3;1;00;0.608
chrom;3;2;00;0.590
chrom;3;3;00;0.576
chrom;3;4;00;0.651
chrom;3;5;00;0.673
chrom;3;6;00;0.606
chrom;3;7;00;0.554
chrom;3;8;00;0.590
chrom;3;9;00;0.599
chrom;3;10;00;0.512
chrom;3;11;00;0.451
chrom;3;12;00;0.610
chrom;3;13;00;0.558
chrom;3;14;00;0.521
chrom;3;15;00;0.530
chrom;3;16;00;0.477
chrom;3;17;00;0.571
chrom;3;18;00;0.578
chrom;3;19;00;0.558
chrom;3;20;00;0.584
chrom;3;21;00;0.584
chrom;3;22;00;0.597
chrom;3;23;00;0.595
chrom;3;24;00;0.548
chrom;3;25;00;0.590
chrom;3;26;00;0.578
chrom;3;27;00;0.560
chrom;3;28;00;0.552
chrom;3;29;00;0.614
chrom;3;30;00;0.462
chrom;3;31;00;0.595
chrom;3;32;00;0.586
chrom;3;33;00;0.593
chrom;3;34;00;0.576
chrom;3;35;00;0.551
chrom;3;36;00;0.539
chrom;3;37;00;0.456
chrom;3;38;00;0.556
chrom;3;39;00;0.515
gen;3;;00;22.837
chrom;4;0;00;0.594
chrom;4;1;00;0.593
chrom;4;2;00;0.535
chrom;4;3;00;0.571
chrom;4;4;00;0.558
chrom;4;5;00;0.590
chrom;4;6;00;0.557
chrom;4;7;00;0.595
chrom;4;8;00;0.593
chrom;4;9;00;0.566
chrom;4;10;00;0.615
chrom;4;11;00;0.574
chrom;4;12;00;0.575
chrom;4;13;00;0.622
chrom;4;14;00;0.453
chrom;4;15;00;0.560
chrom;4;16;00;0.451
chrom;4;17;00;0.585
chrom;4;18;00;0.533
chrom;4;19;00;0.594
chrom;4;20;00;0.586
chrom;4;21;00;0.605
chrom;4;22;00;0.629
chrom;4;23;00;0.695
chrom;4;24;00;0.569
chrom;4;25;00;0.689
chrom;4;26;00;0.620
chrom;4;27;00;0.549
chrom;4;28;00;0.697
chrom;4;29;00;1.002
chrom;4;30;00;0.859
chrom;4;31;00;0.614
chrom;4;32;00;0.619
chrom;4;33;00;0.662
chrom;4;34;00;0.529
chrom;4;35;00;0.552
chrom;4;36;00;0.468
chrom;4;37;00;0.534
chrom;4;38;00;0.596
chrom;4;39;00;0.647
gen;4;;00;24.232
chrom;5;0;00;0.657
chrom;5;1;00;0.624
chrom;5;2;00;0.606
chrom;5;3;00;0.627
chrom;5;4;00;0.664
chrom;5;5;00;0.575
chrom;5;6;00;0.573
chrom;5;7;00;0.551
chrom;5;8;00;0.644
chrom;5;9;00;0.602
chrom;5;10;00;0.465
chrom;5;11;00;0.521
chrom;5;12;00;0.569
chrom;5;13;00;0.620
chrom;5;14;00;0.496
chrom;5;15;00;0.615
chrom;5;16;00;0.669
chrom;5;17;00;0.549
chrom;5;18;00;0.565
chrom;5;19;00;0.647
chrom;5;20;00;0.567
chrom;5;21;00;0.622
chrom;5;22;00;0.539
chrom;5;23;00;0.637
chrom;5;24;00;0.617
chrom;5;25;00;0.495
chrom;5;26;00;0.620
chrom;5;27;00;0.686
chrom;5;28;00;0.561
chrom;5;29;00;0.613
chrom;5;30;00;0.582
chrom;5;31;00;0.691
chrom;5;32;00;0.610
chrom;5;33;00;0.623
chrom;5;34;00;0.509
chrom;5;35;00;0.648
chrom;5;36;00;0.619
chrom;5;37;00;0.643
chrom;5;38;00;0.667
chrom;5;39;00;0.573
gen;5;;00;24.153
chrom;6;0;00;0.577
chrom;6;1;00;0.574
chrom;6;2;00;0.601
chrom;6;3;00;0.627
chrom;6;4;00;0.629
chrom;6;5;00;0.576
chrom;6;6;00;0.652
chrom;6;7;00;0.702
chrom;6;8;00;0.679
chrom;6;9;00;0.690
chrom;6;10;00;0.606
chrom;6;11;00;0.588
chrom;6;12;00;0.582
chrom;6;13;00;0.542
chrom;6;14;00;0.634
chrom;6;15;00;0.593
chrom;6;16;00;0.583
chrom;6;17;00;0.636
chrom;6;18;00;0.674
chrom;6;19;00;0.643
chrom;6;20;00;0.521
chrom;6;21;00;0.615
chrom;6;22;00;0.688
chrom;6;23;00;1.043
chrom;6;24;00;0.936
chrom;6;25;00;0.792
chrom;6;26;00;0.523
chrom;6;27;00;0.548
chrom;6;28;00;0.580
chrom;6;29;00;0.584
chrom;6;30;00;0.488
