timed;gen;idx;min;sec
chrom;1;0;00;0.432
chrom;1;1;00;0.405
chrom;1;2;00;0.441
chrom;1;3;00;0.376
chrom;1;4;00;0.389
chrom;1;5;00;0.361
chrom;1;6;00;0.379
chrom;1;7;00;0.423
chrom;1;8;00;0.363
chrom;1;9;00;0.374
chrom;1;10;00;0.393
chrom;1;11;00;0.458
chrom;1;12;00;0.375
chrom;1;13;00;0.387
chrom;1;14;00;0.459
chrom;1;15;00;0.432
chrom;1;16;00;0.404
chrom;1;17;00;0.389
chrom;1;18;00;0.458
chrom;1;19;00;0.436
chrom;1;20;00;0.407
chrom;1;21;00;0.475
chrom;1;22;00;0.580
chrom;1;23;00;0.462
chrom;1;24;00;0.475
chrom;1;25;00;0.415
chrom;1;26;00;0.379
chrom;1;27;00;0.432
chrom;1;28;00;0.377
chrom;1;29;00;0.418
chrom;1;30;00;0.536
chrom;1;31;00;0.439
chrom;1;32;00;0.422
chrom;1;33;00;0.411
chrom;1;34;00;0.500
chrom;1;35;00;0.414
chrom;1;36;00;0.410
chrom;1;37;00;0.438
chrom;1;38;00;0.394
chrom;1;39;00;0.473
chrom;1;40;00;0.404
chrom;1;41;00;0.404
chrom;1;42;00;0.447
chrom;1;43;00;0.378
chrom;1;44;00;0.455
chrom;1;45;00;0.508
chrom;1;46;00;0.475
chrom;1;47;00;0.476
chrom;1;48;00;0.426
chrom;1;49;00;0.486
chrom;1;50;00;0.411
chrom;1;51;00;0.691
chrom;1;52;00;0.474
chrom;1;53;00;0.362
chrom;1;54;00;0.402
chrom;1;55;00;0.387
chrom;1;56;00;0.358
chrom;1;57;00;0.365
chrom;1;58;00;0.366
chrom;1;59;00;0.398
chrom;1;60;00;0.360
chrom;1;61;00;0.368
chrom;1;62;00;0.374
chrom;1;63;00;0.404
chrom;1;64;00;0.421
chrom;1;65;00;0.347
chrom;1;66;00;0.409
chrom;1;67;00;0.366
chrom;1;68;00;0.360
chrom;1;69;00;0.387
gen;1;;00;29.714
chrom;2;0;00;0.000
chrom;2;1;00;0.000
chrom;2;2;00;0.000
chrom;2;3;00;0.000
chrom;2;4;00;0.000
chrom;2;5;00;0.000
chrom;2;6;00;0.000
chrom;2;7;00;0.000
chrom;2;8;00;0.000
chrom;2;9;00;0.000
chrom;2;10;00;0.000
chrom;2;11;00;0.000
chrom;2;12;00;0.000
chrom;2;13;00;0.000
chrom;2;14;00;0.000
chrom;2;15;00;0.000
chrom;2;16;00;0.000
chrom;2;17;00;0.000
chrom;2;18;00;0.000
chrom;2;19;00;0.001
chrom;2;20;00;0.000
chrom;2;21;00;0.000
chrom;2;22;00;0.000
chrom;2;23;00;0.000
chrom;2;24;00;0.000
chrom;2;25;00;0.000
chrom;2;26;00;0.000
chrom;2;27;00;0.000
chrom;2;28;00;0.369
chrom;2;29;00;0.379
chrom;2;30;00;0.419
chrom;2;31;00;0.438
chrom;2;32;00;0.437
chrom;2;33;00;0.425
chrom;2;34;00;0.448
chrom;2;35;00;0.385
chrom;2;36;00;0.000
chrom;2;37;00;0.472
chrom;2;38;00;0.407
chrom;2;39;00;0.388
chrom;2;40;00;0.398
chrom;2;41;00;0.459
chrom;2;42;00;0.364
chrom;2;43;00;0.423
chrom;2;44;00;0.387
chrom;2;45;00;0.388
chrom;2;46;00;0.393
chrom;2;47;00;0.419
chrom;2;48;00;0.447
chrom;2;49;00;0.452
chrom;2;50;00;0.444
chrom;2;51;00;0.406
chrom;2;52;00;0.379
chrom;2;53;00;0.394
chrom;2;54;00;0.393
chrom;2;55;00;0.435
chrom;2;56;00;0.409
chrom;2;57;00;0.457
chrom;2;58;00;0.461
chrom;2;59;00;0.000
chrom;2;60;00;0.385
chrom;2;61;00;0.511
chrom;2;62;00;0.425
chrom;2;63;00;0.447
chrom;2;64;00;0.000
chrom;2;65;00;0.444
chrom;2;66;00;0.433
chrom;2;67;00;0.387
chrom;2;68;00;0.418
chrom;2;69;00;0.383
gen;2;;00;16.579
chrom;3;0;00;0.000
chrom;3;1;00;0.000
chrom;3;2;00;0.000
chrom;3;3;00;0.000
chrom;3;4;00;0.000
chrom;3;5;00;0.000
chrom;3;6;00;0.001
chrom;3;7;00;0.000
chrom;3;8;00;0.000
chrom;3;9;00;0.000
chrom;3;10;00;0.000
chrom;3;11;00;0.000
chrom;3;12;00;0.000
chrom;3;13;00;0.000
chrom;3;14;00;0.000
chrom;3;15;00;0.001
chrom;3;16;00;0.000
chrom;3;17;00;0.000
chrom;3;18;00;0.000
chrom;3;19;00;0.000
chrom;3;20;00;0.000
chrom;3;21;00;0.000
chrom;3;22;00;0.000
chrom;3;23;00;0.000
chrom;3;24;00;0.000
chrom;3;25;00;0.000
chrom;3;26;00;0.000
chrom;3;27;00;0.000
chrom;3;28;00;0.490
chrom;3;29;00;0.490
chrom;3;30;00;0.398
chrom;3;31;00;0.462
chrom;3;32;00;0.428
chrom;3;33;00;0.409
chrom;3;34;00;0.404
chrom;3;35;00;0.445
chrom;3;36;00;0.427
chrom;3;37;00;0.382
chrom;3;38;00;0.365
chrom;3;39;00;0.366
chrom;3;40;00;0.000
chrom;3;41;00;0.411
chrom;3;42;00;0.455
chrom;3;43;00;0.404
chrom;3;44;00;0.436
chrom;3;45;00;0.408
chrom;3;46;00;0.417
chrom;3;47;00;0.445
chrom;3;48;00;0.427
chrom;3;49;00;0.426
chrom;3;50;00;0.400
chrom;3;51;00;0.396
chrom;3;52;00;0.464
chrom;3;53;00;0.397
chrom;3;54;00;0.426
chrom;3;55;00;0.367
chrom;3;56;00;0.389
chrom;3;57;00;0.417
chrom;3;58;00;0.431
chrom;3;59;00;0.465
chrom;3;60;00;0.378
chrom;3;61;00;0.391
