generation;idx;fitness;param0;param1;param2;param3;param4;param5;param6;param7;param8;param9
1;0;1.3333333333333333;-d;;-ct;-cta;0.0;-ctb;1;;;
1;1;1.2972972972972974;-d;;;;;;;-rsd;-r;1
1;2;1.263157894736842;;;;;;;;;;
1;3;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;10
1;4;1.263157894736842;;-rrt;;;;;;;;
1;5;1.2972972972972974;-d;;-ct;-cta;1.0;-ctb;3;;;
1;6;1.2972972972972974;-d;;-ct;-cta;0.67;-ctb;3;;;
1;7;1.3714285714285714;-d;-rrt;;;;;;;;
1;8;1.0;-d;-rrt;-ct;-cta;0.0;-ctb;10;-rsd;-r;5
1;9;1.2972972972972974;;-rrt;-ct;-cta;1.0;-ctb;1;-rsd;-r;5
1;10;1.2972972972972974;;;;;;;;-rsd;-r;1
1;11;1.0;;;-ct;-cta;1.0;-ctb;10;-rsd;-r;10
1;12;1.3333333333333333;-d;;-ct;-cta;1.0;-ctb;1;-rsd;-r;10
1;13;1.3714285714285714;-d;-rrt;-ct;-cta;1.0;-ctb;1;;;
1;14;1.3333333333333333;-d;-rrt;-ct;-cta;1.0;-ctb;3;-rsd;-r;5
1;15;1.263157894736842;;;-ct;-cta;0.0;-ctb;3;;;
1;16;1.3333333333333333;-d;;;;;;;;;
1;17;1.263157894736842;;;;;;;;-rsd;-r;5
1;18;1.2972972972972974;-d;-rrt;;;;;;-rsd;-r;1
1;19;1.2972972972972974;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
1;20;1.263157894736842;;;-ct;-cta;1.0;-ctb;3;-rsd;-r;10
1;21;1.3714285714285714;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
1;22;1.0;-d;;-ct;-cta;1.0;-ctb;10;-rsd;-r;5
1;23;1.3333333333333333;-d;;;;;;;-rsd;-r;10
1;24;1.263157894736842;;-rrt;;;;;;-rsd;-r;5
1;25;1.2972972972972974;;;-ct;-cta;0.67;-ctb;3;-rsd;-r;1
1;26;1.263157894736842;;-rrt;-ct;-cta;1.0;-ctb;3;;;
1;27;1.263157894736842;;;-ct;-cta;1.0;-ctb;3;-rsd;-r;5
1;28;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
1;29;1.2972972972972974;-d;;-ct;-cta;0.33;-ctb;1;;;
1;30;1.3333333333333333;-d;-rrt;-ct;-cta;0.33;-ctb;3;;;
1;31;1.0;;;-ct;-cta;0.0;-ctb;10;-rsd;-r;5
1;32;1.0;-d;-rrt;-ct;-cta;0.0;-ctb;10;-rsd;-r;1
1;33;1.2972972972972974;;-rrt;-ct;-cta;0.67;-ctb;1;-rsd;-r;10
1;34;1.0;;-rrt;-ct;-cta;0.0;-ctb;10;-rsd;-r;1
1;35;1.2972972972972974;;-rrt;-ct;-cta;0.67;-ctb;3;-rsd;-r;5
1;36;1.2972972972972974;;-rrt;-ct;-cta;0.67;-ctb;1;;;
1;37;1.263157894736842;;-rrt;;;;;;-rsd;-r;10
1;38;1.3714285714285714;-d;-rrt;-ct;-cta;0.67;-ctb;1;-rsd;-r;1
1;39;1.3333333333333333;-d;-rrt;-ct;-cta;0.33;-ctb;3;-rsd;-r;1
2;0;1.2972972972972974;;-rrt;-ct;-cta;0.67;-ctb;1;-rsd;-r;10
2;1;1.2972972972972974;;-rrt;-ct;-cta;0.67;-ctb;3;-rsd;-r;5
2;2;1.2972972972972974;;-rrt;-ct;-cta;0.67;-ctb;1;;;
2;3;1.3333333333333333;-d;;-ct;-cta;0.0;-ctb;1;;;
2;4;1.3333333333333333;-d;;-ct;-cta;1.0;-ctb;1;-rsd;-r;10
2;5;1.3333333333333333;-d;-rrt;-ct;-cta;1.0;-ctb;3;-rsd;-r;5
2;6;1.3333333333333333;-d;;;;;;;;;
2;7;1.3333333333333333;-d;;;;;;;-rsd;-r;10
2;8;1.3333333333333333;-d;-rrt;-ct;-cta;0.33;-ctb;3;;;
2;9;1.3333333333333333;-d;-rrt;-ct;-cta;0.33;-ctb;3;-rsd;-r;1
2;10;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;10
2;11;1.3714285714285714;-d;-rrt;;;;;;;;
2;12;1.3714285714285714;-d;-rrt;-ct;-cta;1.0;-ctb;1;;;
2;13;1.3714285714285714;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
2;14;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
2;15;1.3714285714285714;-d;-rrt;-ct;-cta;0.67;-ctb;1;-rsd;-r;1
2;16;1.3333333333333333;-d;;;;;;;-rsd;-r;10
2;17;1.3333333333333333;-d;-rrt;-ct;-cta;1.0;-ctb;3;-rsd;-r;10
2;18;1.263157894736842;;-rrt;-ct;-cta;1.0;-ctb;3;;;
2;19;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
2;20;1.3714285714285714;-d;-rrt;-ct;-cta;0.67;-ctb;1;;;
2;21;1.3333333333333333;-d;-rrt;-ct;-cta;0.67;-ctb;3;;;
2;22;1.3714285714285714;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
2;23;1.2972972972972974;-d;-rrt;-ct;-cta;0.0;-ctb;1;-rsd;-r;1
2;24;1.0;-d;-rrt;-ct;-cta;0.67;-ctb;10;-rsd;-r;10
2;25;1.263157894736842;;-rrt;-ct;-cta;0.33;-ctb;1;;;
2;26;1.2972972972972974;;-rrt;-ct;-cta;0.67;-ctb;3;;;
2;27;1.263157894736842;;-rrt;-ct;-cta;0.33;-ctb;3;-rsd;-r;5
2;28;1.2972972972972974;-d;;;;;;;-rsd;-r;1
2;29;1.3333333333333333;-d;;-ct;-cta;0.0;-ctb;1;;;
2;30;1.2972972972972974;-d;;-ct;-cta;1.0;-ctb;3;-rsd;-r;1
2;31;1.263157894736842;;;;;;;;-rsd;-r;10
2;32;1.0;-d;;-ct;-cta;0.67;-ctb;10;;;
2;33;1.3333333333333333;-d;-rrt;-ct;-cta;0.67;-ctb;3;;;
2;34;1.2972972972972974;;-rrt;;;;;;-rsd;-r;1
2;35;1.3333333333333333;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;1
2;36;1.3714285714285714;-d;-rrt;-ct;-cta;0.0;-ctb;3;;;
2;37;1.2972972972972974;;-rrt;-ct;-cta;0.67;-ctb;1;;;
2;38;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
2;39;1.3333333333333333;-d;;;;;;;;;
3;0;1.3333333333333333;-d;-rrt;-ct;-cta;0.67;-ctb;3;;;
3;1;1.3333333333333333;-d;;-ct;-cta;0.0;-ctb;1;;;
3;2;1.3333333333333333;-d;-rrt;-ct;-cta;0.67;-ctb;3;;;
3;3;1.3333333333333333;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;1
3;4;1.3333333333333333;-d;;;;;;;;;
3;5;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;10
3;6;1.3714285714285714;-d;-rrt;;;;;;;;
