timed;gen;idx;min;sec
chrom;1;0;00;0.557
chrom;1;1;00;0.436
chrom;1;2;00;0.532
chrom;1;3;00;0.619
chrom;1;4;00;0.522
chrom;1;5;00;0.479
chrom;1;6;00;0.448
chrom;1;7;00;0.513
chrom;1;8;00;0.515
chrom;1;9;00;0.613
chrom;1;10;00;0.517
chrom;1;11;00;0.509
chrom;1;12;00;0.634
chrom;1;13;00;0.578
chrom;1;14;00;0.489
chrom;1;15;00;0.673
chrom;1;16;00;0.903
chrom;1;17;00;0.765
chrom;1;18;00;0.486
chrom;1;19;00;0.597
chrom;1;20;00;0.624
chrom;1;21;00;0.862
chrom;1;22;00;0.723
chrom;1;23;00;0.673
chrom;1;24;00;0.614
chrom;1;25;00;0.702
chrom;1;26;00;0.588
chrom;1;27;00;0.598
chrom;1;28;00;0.709
chrom;1;29;00;0.613
chrom;1;30;00;0.623
chrom;1;31;00;0.548
chrom;1;32;00;0.645
chrom;1;33;00;0.615
chrom;1;34;00;0.552
chrom;1;35;00;0.573
chrom;1;36;00;0.592
chrom;1;37;00;0.605
chrom;1;38;00;0.655
chrom;1;39;00;0.583
gen;1;;00;24.370
chrom;2;0;00;0.000
chrom;2;1;00;0.000
chrom;2;2;00;0.000
chrom;2;3;00;0.000
chrom;2;4;00;0.000
chrom;2;5;00;0.001
chrom;2;6;00;0.000
chrom;2;7;00;0.000
chrom;2;8;00;0.000
chrom;2;9;00;0.000
chrom;2;10;00;0.000
chrom;2;11;00;0.001
chrom;2;12;00;0.000
chrom;2;13;00;0.000
chrom;2;14;00;0.000
chrom;2;15;00;0.000
chrom;2;16;00;0.000
chrom;2;17;00;0.629
chrom;2;18;00;0.000
chrom;2;19;00;0.000
chrom;2;20;00;0.696
chrom;2;21;00;0.607
chrom;2;22;00;0.000
chrom;2;23;00;0.577
chrom;2;24;00;0.584
chrom;2;25;00;0.678
chrom;2;26;00;0.578
chrom;2;27;00;0.548
chrom;2;28;00;0.000
chrom;2;29;00;0.000
chrom;2;30;00;0.666
chrom;2;31;00;0.621
chrom;2;32;00;0.621
chrom;2;33;00;0.000
chrom;2;34;00;0.662
chrom;2;35;00;0.633
chrom;2;36;00;0.592
chrom;2;37;00;0.000
chrom;2;38;00;0.000
chrom;2;39;00;0.000
gen;2;;00;9.071
chrom;3;0;00;0.000
chrom;3;1;00;0.000
chrom;3;2;00;0.000
chrom;3;3;00;0.000
chrom;3;4;00;0.000
chrom;3;5;00;0.000
chrom;3;6;00;0.000
chrom;3;7;00;0.000
chrom;3;8;00;0.004
chrom;3;9;00;0.004
chrom;3;10;00;0.000
chrom;3;11;00;0.000
chrom;3;12;00;0.000
chrom;3;13;00;0.000
chrom;3;14;00;0.000
chrom;3;15;00;0.000
chrom;3;16;00;0.000
chrom;3;17;00;0.000
chrom;3;18;00;0.632
chrom;3;19;00;0.656
chrom;3;20;00;0.000
chrom;3;21;00;0.683
chrom;3;22;00;0.680
chrom;3;23;00;0.000
chrom;3;24;00;0.000
chrom;3;25;00;0.000
chrom;3;26;00;0.000
chrom;3;27;00;0.615
chrom;3;28;00;0.000
chrom;3;29;00;0.000
chrom;3;30;00;0.605
chrom;3;31;00;0.665
chrom;3;32;00;0.651
chrom;3;33;00;0.575
chrom;3;34;00;0.000
chrom;3;35;00;0.000
chrom;3;36;00;0.587
chrom;3;37;00;0.649
chrom;3;38;00;0.000
chrom;3;39;00;0.000
gen;3;;00;7.423
chrom;4;0;00;0.000
chrom;4;1;00;0.000
chrom;4;2;00;0.000
chrom;4;3;00;0.000
chrom;4;4;00;0.000
chrom;4;5;00;0.000
chrom;4;6;00;0.000
chrom;4;7;00;0.000
chrom;4;8;00;0.000
chrom;4;9;00;0.000
chrom;4;10;00;0.000
chrom;4;11;00;0.000
chrom;4;12;00;0.000
chrom;4;13;00;0.000
chrom;4;14;00;0.000
chrom;4;15;00;0.004
chrom;4;16;00;0.000
chrom;4;17;00;0.000
chrom;4;18;00;0.000
chrom;4;19;00;0.628
chrom;4;20;00;0.000
chrom;4;21;00;0.000
chrom;4;22;00;0.000
chrom;4;23;00;0.000
chrom;4;24;00;0.001
chrom;4;25;00;0.000
chrom;4;26;00;0.000
chrom;4;27;00;0.000
chrom;4;28;00;0.000
chrom;4;29;00;0.713
chrom;4;30;00;0.654
chrom;4;31;00;0.000
chrom;4;32;00;0.000
chrom;4;33;00;0.000
chrom;4;34;00;0.571
chrom;4;35;00;0.701
chrom;4;36;00;0.004
chrom;4;37;00;0.000
chrom;4;38;00;0.000
chrom;4;39;00;0.000
gen;4;;00;3.739
chrom;5;0;00;0.000
chrom;5;1;00;0.000
chrom;5;2;00;0.001
chrom;5;3;00;0.000
chrom;5;4;00;0.000
chrom;5;5;00;0.000
chrom;5;6;00;0.000
chrom;5;7;00;0.000
chrom;5;8;00;0.000
chrom;5;9;00;0.000
chrom;5;10;00;0.000
chrom;5;11;00;0.000
chrom;5;12;00;0.000
chrom;5;13;00;0.000
chrom;5;14;00;0.000
chrom;5;15;00;0.000
chrom;5;16;00;0.001
chrom;5;17;00;0.001
chrom;5;18;00;0.000
chrom;5;19;00;0.000
chrom;5;20;00;0.000
chrom;5;21;00;0.000
chrom;5;22;00;0.581
chrom;5;23;00;0.001
chrom;5;24;00;0.000
chrom;5;25;00;0.000
chrom;5;26;00;0.619
chrom;5;27;00;0.001
chrom;5;28;00;0.000
chrom;5;29;00;0.634
chrom;5;30;00;0.000
chrom;5;31;00;0.000
chrom;5;32;00;0.000
chrom;5;33;00;0.000
chrom;5;34;00;0.001
chrom;5;35;00;0.608
chrom;5;36;00;0.000
chrom;5;37;00;0.000
chrom;5;38;00;0.669
chrom;5;39;00;0.000
gen;5;;00;3.492
chrom;6;0;00;0.001
chrom;6;1;00;0.000
chrom;6;2;00;0.000
chrom;6;3;00;0.000
chrom;6;4;00;0.000
chrom;6;5;00;0.000
chrom;6;6;00;0.000
chrom;6;7;00;0.000
chrom;6;8;00;0.001
chrom;6;9;00;0.000
chrom;6;10;00;0.000
chrom;6;11;00;0.000
chrom;6;12;00;0.000
chrom;6;13;00;0.000
chrom;6;14;00;0.000
chrom;6;15;00;0.000
chrom;6;16;00;0.004
chrom;6;17;00;0.000
chrom;6;18;00;0.000
chrom;6;19;00;0.000
chrom;6;20;00;0.000
chrom;6;21;00;0.000
chrom;6;22;00;0.000
chrom;6;23;00;0.000
chrom;6;24;00;0.000
chrom;6;25;00;0.000
chrom;6;26;00;0.004
chrom;6;27;00;0.000
chrom;6;28;00;0.680
chrom;6;29;00;0.612
chrom;6;30;00;0.000
chrom;6;31;00;0.000
chrom;6;32;00;0.000
chrom;6;33;00;0.000
chrom;6;34;00;0.593
chrom;6;35;00;0.000
chrom;6;36;00;0.000
chrom;6;37;00;0.000
chrom;6;38;00;0.000
chrom;6;39;00;0.600
gen;6;;00;2.888
chrom;7;0;00;0.000
chrom;7;1;00;0.000
chrom;7;2;00;0.000
chrom;7;3;00;0.000
chrom;7;4;00;0.000
chrom;7;5;00;0.000
chrom;7;6;00;0.000
chrom;7;7;00;0.000
chrom;7;8;00;0.000
chrom;7;9;00;0.000
chrom;7;10;00;0.000
chrom;7;11;00;0.000
chrom;7;12;00;0.000
chrom;7;13;00;0.000
chrom;7;14;00;0.000
chrom;7;15;00;0.000
chrom;7;16;00;0.000
chrom;7;17;00;0.632
chrom;7;18;00;0.000
chrom;7;19;00;0.810
chrom;7;20;00;0.000
chrom;7;21;00;0.000
chrom;7;22;00;0.000
chrom;7;23;00;0.000
chrom;7;24;00;0.000
chrom;7;25;00;0.002
chrom;7;26;00;0.001
chrom;7;27;00;0.000
